Animal_ID,Trial,Dpat,Time_min,l_star,a_star,b_star,PaO2,cal_SaO2,PaCO2,Cl,HCO3,Temp,pH,Cartridge_expired,Coox_SaO2,Hct,total_Hb,O2Hb,COHb,MetHb,O2_suppl
I3,5,0,10,15.7,36.5,23.2,44.3,73.6,54.8,110,26.3,39.4,7.29,No,75.4,27,9.8,73.1,0.8,2.2,No
I3,5,0,15,16.5,39.2,23.8,48.6,80,52.9,114,27.4,39.4,7.32,No,81.2,26,9.1,78.4,1.3,2.1,No
I3,5,0,20,16,37.4,22.3,45.4,78.7,49.8,110,28.2,39.4,7.36,No,82.8,24,9,80.3,1.8,1.2,No
I3,5,0,30,18.3,41.2,27.2,72.5,94.8,43.8,111,29.8,39.6,7.44,No,92,25,8.9,88.5,2.4,1.4,No
I4,1,0,5,12,28.2,13.8,33.3,58.4,56.1,108,28.8,38.9,7.33,No,53.8,29,10.8,52.3,0,2.8,No
I4,1,0,10,18.6,40.7,26.6,59.9,89.7,47.4,110,28,39,7.38,No,89,25,9.3,85.3,2.6,1.5,No
I4,1,0,15,18.6,40.5,25.5,58.4,89.7,45.7,111,28.6,39.3,7.41,No,88,22,8.3,84.6,2.4,1.4,No
I4,1,0,20,19.4,41,26.4,60.3,90.5,45.3,111,28.2,38.8,7.4,No,88.9,21,7.4,85.5,1.8,2,No
I4,1,0,30,19.2,40.6,27.1,57.4,90.1,46.2,108,31.5,37.7,7.44,No,88.8,20,7.5,84.7,3,1.6,No
I4,4,5,5,14.6,32.2,18.7,39.5,66.4,57.6,114,27.3,38.7,7.29,No,66.4,25,9.4,64.3,0.1,3,No
I4,4,5,10,18.4,31.9,18.8,50.3,81,54.1,114,27.4,39.1,7.31,No,80.7,21,8.4,77.9,1.6,1.9,No
I4,4,5,15,19.1,37.3,25,56.2,86.8,51.2,112,28.3,39,7.35,No,86.7,19,7.8,83.2,2,2.1,No
I4,4,5,20,17.8,39.7,25.5,54.5,85.8,52.2,114,29.2,39,7.36,No,86.1,18,7.5,82.9,1.6,2.1,No
I4,4,5,30,19.5,42.6,29,66.1,92.4,47.8,113,29.3,38.8,7.4,No,92,17,8.9,88.5,2.4,1.4,No
I4,5,0,5,11.4,30.8,16.5,37.7,63.6,54.1,111,25.4,39.4,7.28,No,67.1,34,12.1,64.9,0.5,2.8,No
I4,5,0,10,17,37.7,23.4,57.9,86.9,57.2,112,24,39.5,7.31,No,83.6,31,11,80.7,1.6,2,No
I4,5,0,15,17.8,39.7,25.5,59.4,88.4,44.2,112,23.4,39.6,7.33,No,86.8,27,9.8,83,2.9,1.5,No
I4,5,0,20,17.8,40.7,27,57,87.9,42.9,112,24,39.7,7.32,No,88.3,25,9.3,85.1,1.8,1.9,No
I4,5,0,30,18.2,41.3,27.3,62.2,90.9,43.5,111,25.8,39.7,7.38,No,90.2,25,8.8,86.9,2,1.8,No
I4,5,0,42,20.1,43.8,30.4,158,99.4,47.3,109,27.7,39.7,7.38,Yes,97.2,24,8.7,92.4,3,1.9,Yes
I4,5,0,44,20,45,31.5,186.1,99.6,45.3,109,27.3,39.7,7.39,Yes,97.1,24,8.7,92,3.9,1.3,Yes
I4,5,0,47,20.2,44.8,30.8,204,NA,47.5,113,NA,39.7,NA,Yes,96.5,24,8.9,92.5,2.3,1.8,Yes
I4,6,0,42,20.5,44.8,29.7,221.7,99.7,51.9,118,27.5,37.3,7.33,Yes,97.5,NA,8,92.7,3.3,1.7,Yes
I4,6,0,44,20.9,46.4,32.4,200.2,99.6,52,121,27.4,37.2,7.33,Yes,97.3,22,8,92.7,3.3,1.4,Yes
I4,6,0,46,20.5,44.5,30.4,194.9,99.6,52.8,121,27.8,37.2,7.33,Yes,97.6,22,7.9,92.8,3.3,1.6,Yes
I5,1,20,5,11.1,27.3,13.2,31,48.7,64.7,111,29.3,37.3,7.26,No,51.7,26,9.3,49.7,0,3.8,No
I5,1,20,10,14.2,34.1,19.3,40.4,68,59.3,112,28.5,38.1,7.29,No,70.7,22,8.3,68.5,0,3,No
I5,1,20,15,16.1,36.7,19.7,45.6,75.5,57.3,114,28.2,37.8,7.3,No,77.1,20,7.7,74.7,0.4,2.7,No
I5,1,20,20,15.9,36.5,21.5,45.9,76.1,58.1,112,29.1,37.8,7.31,No,79.3,19,7.1,76.8,0.4,2.8,No
I5,1,20,30,16.8,38.1,23.3,49.3,79.6,61.5,109,31.1,37.3,7.31,No,82,19,7.1,79.1,0.9,2.6,No
I5,3,5,5,10.8,24.5,10.3,27.4,44.7,61.3,107,32.4,38.2,7.33,No,42.1,27,9.7,40.7,0,3.5,No
I5,3,5,10,10.9,23,9.7,26.1,40.4,65.7,108,33.1,38.7,7.31,No,36.9,28,10.6,35.4,0.7,3.2,No
I5,3,5,15,13.4,32.6,18,35.3,62.5,60.2,107,32.8,39,7.34,No,60.1,24,9.2,58.4,0,2.8,No
I5,3,5,20,15.7,35.8,21.3,40.9,72.7,57.9,108,33,38.9,7.36,No,71,22,8.3,69.7,0,1.8,No
I5,3,5,30,16.6,35.4,20.5,44.4,78.3,57.5,106,34.8,37.8,7.39,No,76.8,21,7.8,74.4,1.9,1.3,No
I5,3,5,35,21,45.3,30.3,238.2,99.8,67.1,106,37.3,37.5,7.35,No,95.5,NA,7.7,93.1,1.4,1.2,Yes
I5,4,70,5,10.2,19.8,7.5,16.3,15.5,74.4,117,30.9,38.3,7.23,No,19.4,32,11.5,18.7,0,3.1,No
I5,4,70,10,12.8,26,14,27,39.9,65.4,116,29.7,39.1,7.27,No,46.4,28,10.4,44.6,0.6,3.1,No
I5,4,70,15,13.6,31,17.2,34.2,57.2,64.8,113,31.6,39.1,7.3,No,61.1,25,9.5,59.5,0,2.6,No
I5,4,70,20,13.9,32.5,19.9,34.9,59.8,64.2,114,32.9,39,7.32,No,61.2,24,8.8,59.6,0.6,2.1,No
I5,4,70,30,16.1,34.9,21.8,40.3,71.2,61.8,114,34.8,38.7,7.36,No,69.9,21,8.2,67.7,0.8,2.3,No
I5,5,0,5,15.7,38.2,23.8,65.5,91,49.8,108,27,38.7,7.34,No,84.4,31,11,82.1,1.1,1.7,No
I5,5,0,10,18.6,41.1,25.8,65.9,92.2,45,109,26.9,39,7.39,No,89,30,11.1,86.3,1,2,No
I5,5,0,15,18.3,42.4,28.2,70.3,93.9,43.3,108,28.5,38.7,7.41,No,90.3,28,10.2,87.5,1,2.1,No
I5,5,0,20,16.9,39,24.8,53.1,87.1,45.2,109,28.7,39,7.41,No,85.1,27,9.5,82.5,1.3,1.7,No
I5,5,0,30,19.7,42.1,27.4,65.5,93.6,39.7,110,28.3,39,7.46,No,92.2,26,9.4,89.3,1.5,1.5,No
I5,5,0,42,20.6,45.1,30,215.7,99.8,46.4,107,30.5,38.8,7.43,No,95.2,26,9.5,92.7,1.2,1.4,Yes
I5,5,0,44,20.3,45.8,32.2,243.6,NA,49.4,109,NA,38.8,NA,Yes,95.7,25,9.5,92.8,1.6,1.5,Yes
I5,5,0,46,20.4,44.9,31.6,238.6,99.8,46.1,106,30.9,38.8,7.43,No,95.5,25,9.3,92.5,1.7,1.4,Yes
I5,5,0,48,20.7,46.2,32.5,250.1,NA,48.6,108,NA,38.8,NA,Yes,95.9,24,9.2,92.8,1.8,1.5,Yes
